id	istexture	endname	startname	speed
0	0	NUKAGE3	NUKAGE1	8
1	0	FWATER4	FWATER1	8
2	0	SWATER4	SWATER1	8
3	0	LAVA4	LAVA1	8
4	0	BLOOD3	BLOOD1	8
5	0	RROCK08	RROCK05	8
6	0	SLIME04	SLIME01	8
7	0	SLIME08	SLIME05	8
8	0	SLIME12	SLIME09	8
9	1	BLODGR4	BLODGR1	8
10	1	SLADRIP3	SLADRIP1	8
11	1	BLODRIP4	BLODRIP1	8
12	1	FIREWALL	FIREWALA	8
13	1	GSTFONT3	GSTFONT1	8
14	1	FIRELAVA	FIRELAV3	8
15	1	FIREMAG3	FIREMAG1	8
16	1	FIREBLU2	FIREBLU1	8
17	1	ROCKRED3	ROCKRED1	8
18	1	BFALL4	BFALL1	8
19	1	SFALL4	SFALL1	8
20	1	WFALL4	WFALL1	8
21	1	DBRAIN4	DBRAIN1	8
22	-1			0
