id	value
0	-170910304
1	-56965752
2	-34178904
3	-24413316
4	-18988036
5	-15535599
6	-13145455
7	-11392683
8	-10052327
9	-8994149
10	-8137527
11	-7429880
12	-6835455
13	-6329090
14	-5892567
15	-5512368
16	-5178251
17	-4882318
18	-4618375
19	-4381502
20	-4167737
21	-3973855
22	-3797206
23	-3635590
24	-3487165
25	-3350381
26	-3223918
27	-3106651
28	-2997613
29	-2895966
30	-2800983
31	-2712030
32	-2628549
33	-2550052
34	-2476104
35	-2406322
36	-2340362
37	-2277919
38	-2218719
39	-2162516
40	-2109087
41	-2058233
42	-2009771
43	-1963536
44	-1919378
45	-1877161
46	-1836758
47	-1798063
48	-1760956
49	-1725348
50	-1691149
51	-1658278
52	-1626658
53	-1596220
54	-1566898
55	-1538632
56	-1511367
57	-1485049
58	-1459630
59	-1435065
60	-1411312
61	-1388330
62	-1366084
63	-1344537
64	-1323658
65	-1303416
66	-1283783
67	-1264730
68	-1246234
69	-1228269
70	-1210813
71	-1193846
72	-1177345
73	-1161294
74	-1145673
75	-1130465
76	-1115654
77	-1101225
78	-1087164
79	-1073455
80	-1060087
81	-1047046
82	-1034322
83	-1021901
84	-1009774
85	-997931
86	-986361
87	-975054
88	-964003
89	-953199
90	-942633
91	-932298
92	-922186
93	-912289
94	-902602
95	-893117
96	-883829
97	-874730
98	-865817
99	-857081
100	-848520
101	-840127
102	-831898
103	-823827
104	-815910
105	-808143
106	-800521
107	-793041
108	-785699
109	-778490
110	-771411
111	-764460
112	-757631
113	-750922
114	-744331
115	-737853
116	-731486
117	-725227
118	-719074
119	-713023
120	-707072
121	-701219
122	-695462
123	-689797
124	-684223
125	-678737
126	-673338
127	-668024
128	-662792
129	-657640
130	-652568
131	-647572
132	-642651
133	-637803
134	-633028
135	-628323
136	-623686
137	-619117
138	-614613
139	-610174
140	-605798
141	-601483
142	-597229
143	-593033
144	-588896
145	-584815
146	-580789
147	-576818
148	-572901
149	-569035
150	-565221
151	-561456
152	-557741
153	-554074
154	-550455
155	-546881
156	-543354
157	-539870
158	-536431
159	-533034
160	-529680
161	-526366
162	-523094
163	-519861
164	-516667
165	-513512
166	-510394
167	-507313
168	-504269
169	-501261
170	-498287
171	-495348
172	-492443
173	-489571
174	-486732
175	-483925
176	-481150
177	-478406
178	-475692
179	-473009
180	-470355
181	-467730
182	-465133
183	-462565
184	-460024
185	-457511
186	-455024
187	-452564
188	-450129
189	-447720
190	-445337
191	-442978
192	-440643
193	-438332
194	-436045
195	-433781
196	-431540
197	-429321
198	-427125
199	-424951
200	-422798
201	-420666
202	-418555
203	-416465
204	-414395
205	-412344
206	-410314
207	-408303
208	-406311
209	-404338
210	-402384
211	-400448
212	-398530
213	-396630
214	-394747
215	-392882
216	-391034
217	-389202
218	-387387
219	-385589
220	-383807
221	-382040
222	-380290
223	-378555
224	-376835
225	-375130
226	-373440
227	-371765
228	-370105
229	-368459
230	-366826
231	-365208
232	-363604
233	-362013
234	-360436
235	-358872
236	-357321
237	-355783
238	-354257
239	-352744
240	-351244
241	-349756
242	-348280
243	-346816
244	-345364
245	-343924
246	-342495
247	-341078
248	-339671
249	-338276
250	-336892
251	-335519
252	-334157
253	-332805
254	-331464
255	-330133
256	-328812
257	-327502
258	-326201
259	-324910
260	-323629
261	-322358
262	-321097
263	-319844
264	-318601
265	-317368
266	-316143
267	-314928
268	-313721
269	-312524
270	-311335
271	-310154
272	-308983
273	-307819
274	-306664
275	-305517
276	-304379
277	-303248
278	-302126
279	-301011
280	-299904
281	-298805
282	-297714
283	-296630
284	-295554
285	-294485
286	-293423
287	-292369
288	-291322
289	-290282
290	-289249
291	-288223
292	-287204
293	-286192
294	-285186
295	-284188
296	-283195
297	-282210
298	-281231
299	-280258
300	-279292
301	-278332
302	-277378
303	-276430
304	-275489
305	-274553
306	-273624
307	-272700
308	-271782
309	-270871
310	-269965
311	-269064
312	-268169
313	-267280
314	-266397
315	-265519
316	-264646
317	-263779
318	-262917
319	-262060
320	-261209
321	-260363
322	-259522
323	-258686
324	-257855
325	-257029
326	-256208
327	-255392
328	-254581
329	-253774
330	-252973
331	-252176
332	-251384
333	-250596
334	-249813
335	-249035
336	-248261
337	-247492
338	-246727
339	-245966
340	-245210
341	-244458
342	-243711
343	-242967
344	-242228
345	-241493
346	-240763
347	-240036
348	-239314
349	-238595
350	-237881
351	-237170
352	-236463
353	-235761
354	-235062
355	-234367
356	-233676
357	-232988
358	-232304
359	-231624
360	-230948
361	-230275
362	-229606
363	-228941
364	-228279
365	-227621
366	-226966
367	-226314
368	-225666
369	-225022
370	-224381
371	-223743
372	-223108
373	-222477
374	-221849
375	-221225
376	-220603
377	-219985
378	-219370
379	-218758
380	-218149
381	-217544
382	-216941
383	-216341
384	-215745
385	-215151
386	-214561
387	-213973
388	-213389
389	-212807
390	-212228
391	-211652
392	-211079
393	-210509
394	-209941
395	-209376
396	-208815
397	-208255
398	-207699
399	-207145
400	-206594
401	-206045
402	-205500
403	-204956
404	-204416
405	-203878
406	-203342
407	-202809
408	-202279
409	-201751
410	-201226
411	-200703
412	-200182
413	-199664
414	-199149
415	-198636
416	-198125
417	-197616
418	-197110
419	-196606
420	-196105
421	-195606
422	-195109
423	-194614
424	-194122
425	-193631
426	-193143
427	-192658
428	-192174
429	-191693
430	-191213
431	-190736
432	-190261
433	-189789
434	-189318
435	-188849
436	-188382
437	-187918
438	-187455
439	-186995
440	-186536
441	-186080
442	-185625
443	-185173
444	-184722
445	-184274
446	-183827
447	-183382
448	-182939
449	-182498
450	-182059
451	-181622
452	-181186
453	-180753
454	-180321
455	-179891
456	-179463
457	-179037
458	-178612
459	-178190
460	-177769
461	-177349
462	-176932
463	-176516
464	-176102
465	-175690
466	-175279
467	-174870
468	-174463
469	-174057
470	-173653
471	-173251
472	-172850
473	-172451
474	-172053
475	-171657
476	-171263
477	-170870
478	-170479
479	-170089
480	-169701
481	-169315
482	-168930
483	-168546
484	-168164
485	-167784
486	-167405
487	-167027
488	-166651
489	-166277
490	-165904
491	-165532
492	-165162
493	-164793
494	-164426
495	-164060
496	-163695
497	-163332
498	-162970
499	-162610
500	-162251
501	-161893
502	-161537
503	-161182
504	-160828
505	-160476
506	-160125
507	-159775
508	-159427
509	-159079
510	-158734
511	-158389
512	-158046
513	-157704
514	-157363
515	-157024
516	-156686
517	-156349
518	-156013
519	-155678
520	-155345
521	-155013
522	-154682
523	-154352
524	-154024
525	-153697
526	-153370
527	-153045
528	-152722
529	-152399
530	-152077
531	-151757
532	-151438
533	-151120
534	-150803
535	-150487
536	-150172
537	-149859
538	-149546
539	-149235
540	-148924
541	-148615
542	-148307
543	-148000
544	-147693
545	-147388
546	-147084
547	-146782
548	-146480
549	-146179
550	-145879
551	-145580
552	-145282
553	-144986
554	-144690
555	-144395
556	-144101
557	-143808
558	-143517
559	-143226
560	-142936
561	-142647
562	-142359
563	-142072
564	-141786
565	-141501
566	-141217
567	-140934
568	-140651
569	-140370
570	-140090
571	-139810
572	-139532
573	-139254
574	-138977
575	-138701
576	-138426
577	-138152
578	-137879
579	-137607
580	-137335
581	-137065
582	-136795
583	-136526
584	-136258
585	-135991
586	-135725
587	-135459
588	-135195
589	-134931
590	-134668
591	-134406
592	-134145
593	-133884
594	-133625
595	-133366
596	-133108
597	-132851
598	-132594
599	-132339
600	-132084
601	-131830
602	-131576
603	-131324
604	-131072
605	-130821
606	-130571
607	-130322
608	-130073
609	-129825
610	-129578
611	-129332
612	-129086
613	-128841
614	-128597
615	-128353
616	-128111
617	-127869
618	-127627
619	-127387
620	-127147
621	-126908
622	-126669
623	-126432
624	-126195
625	-125959
626	-125723
627	-125488
628	-125254
629	-125020
630	-124787
631	-124555
632	-124324
633	-124093
634	-123863
635	-123633
636	-123404
637	-123176
638	-122949
639	-122722
640	-122496
641	-122270
642	-122045
643	-121821
644	-121597
645	-121374
646	-121152
647	-120930
648	-120709
649	-120489
650	-120269
651	-120050
652	-119831
653	-119613
654	-119396
655	-119179
656	-118963
657	-118747
658	-118532
659	-118318
660	-118104
661	-117891
662	-117678
663	-117466
664	-117254
665	-117044
666	-116833
667	-116623
668	-116414
669	-116206
670	-115998
671	-115790
672	-115583
673	-115377
674	-115171
675	-114966
676	-114761
677	-114557
678	-114354
679	-114151
680	-113948
681	-113746
682	-113545
683	-113344
684	-113143
685	-112944
686	-112744
687	-112546
688	-112347
689	-112150
690	-111952
691	-111756
692	-111560
693	-111364
694	-111169
695	-110974
696	-110780
697	-110586
698	-110393
699	-110200
700	-110008
701	-109817
702	-109626
703	-109435
704	-109245
705	-109055
706	-108866
707	-108677
708	-108489
709	-108301
710	-108114
711	-107927
712	-107741
713	-107555
714	-107369
715	-107184
716	-107000
717	-106816
718	-106632
719	-106449
720	-106266
721	-106084
722	-105902
723	-105721
724	-105540
725	-105360
726	-105180
727	-105000
728	-104821
729	-104643
730	-104465
731	-104287
732	-104109
733	-103933
734	-103756
735	-103580
736	-103404
737	-103229
738	-103054
739	-102880
740	-102706
741	-102533
742	-102360
743	-102187
744	-102015
745	-101843
746	-101671
747	-101500
748	-101330
749	-101159
750	-100990
751	-100820
752	-100651
753	-100482
754	-100314
755	-100146
756	-99979
757	-99812
758	-99645
759	-99479
760	-99313
761	-99148
762	-98982
763	-98818
764	-98653
765	-98489
766	-98326
767	-98163
768	-98000
769	-97837
770	-97675
771	-97513
772	-97352
773	-97191
774	-97030
775	-96870
776	-96710
777	-96551
778	-96391
779	-96233
780	-96074
781	-95916
782	-95758
783	-95601
784	-95444
785	-95287
786	-95131
787	-94975
788	-94819
789	-94664
790	-94509
791	-94354
792	-94200
793	-94046
794	-93892
795	-93739
796	-93586
797	-93434
798	-93281
799	-93129
800	-92978
801	-92826
802	-92675
803	-92525
804	-92375
805	-92225
806	-92075
807	-91926
