id	doomednum	spawnstate	spawnhealth	seestate	seesound	reactiontime	attacksound	painstate	painchance	painsound	meleestate	missilestate	deathstate	xdeathstate	deathsound	speed	radius	height	mass	damage	activesound	flags	raisestate
0	-1	149	100	150	0	0	0	156	255	25	0	154	158	165	57	0	1048576	3670016	100	0	0	33557510	0
1	3004	174	20	176	36	8	1	187	200	27	0	184	189	194	59	8	1310720	3670016	100	0	75	4194310	203
2	9	207	30	209	37	8	0	220	170	27	0	217	222	227	60	8	1310720	3670016	100	0	75	4194310	236
3	64	241	700	243	48	8	0	269	10	28	0	255	271	0	71	15	1310720	3670016	500	0	80	4194310	0
4	-1	281	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
5	66	321	300	323	106	8	0	343	100	27	335	339	345	0	74	10	1310720	3670016	500	0	105	4194310	351
6	-1	316	1000	0	107	8	0	0	0	0	0	0	318	0	82	655360	720896	524288	100	10	0	67088	0
7	-1	311	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
8	67	362	600	364	49	8	0	386	80	29	0	376	388	0	100	8	3145728	4194304	1000	0	75	4194310	398
9	-1	357	1000	0	16	8	0	0	0	0	0	0	359	0	17	1310720	393216	524288	100	8	0	67088	0
10	65	406	70	408	37	8	0	420	170	27	0	416	422	429	60	8	1310720	3670016	100	0	75	4194310	435
11	3001	442	60	444	39	8	0	455	200	27	452	452	457	462	62	8	1310720	3670016	100	0	76	4194310	470
12	3002	475	150	477	41	8	52	488	180	26	485	0	490	0	64	10	1966080	3670016	400	0	77	4194310	496
13	58	475	150	477	41	8	52	488	180	26	485	0	490	0	64	10	1966080	3670016	400	0	77	4456454	496
14	3005	502	400	503	42	8	0	507	128	26	0	504	510	0	65	8	2031616	3670016	400	0	77	4211206	516
15	3003	527	1000	529	43	8	0	540	50	26	537	537	542	0	67	8	1572864	4194304	1000	0	77	4194310	549
16	-1	522	1000	0	16	8	0	0	0	0	0	0	524	0	17	983040	393216	524288	100	8	0	67088	0
17	69	556	500	558	47	8	0	569	50	26	566	566	571	0	72	8	1572864	4194304	1000	0	77	4194310	578
18	3006	585	100	587	0	8	51	593	256	26	0	589	595	0	17	8	1048576	3670016	50	3	77	16902	0
19	7	601	3000	603	45	8	2	619	40	26	0	615	621	0	69	12	8388608	6553600	1000	0	77	4194310	0
20	68	632	500	634	46	8	0	651	128	26	0	647	653	0	70	12	4194304	4194304	600	0	78	4194310	660
21	16	674	4000	676	44	8	0	690	20	26	0	684	691	0	68	16	2621440	7208960	1000	0	77	4194310	0
22	71	701	400	702	50	8	0	712	128	30	0	708	714	0	73	8	2031616	3670016	400	0	77	4211206	720
23	84	726	50	728	101	8	0	742	170	27	0	736	744	749	102	8	1310720	3670016	100	0	75	4194310	758
24	72	763	100	0	0	8	0	776	256	103	0	0	764	0	104	0	1048576	4718592	10000000	0	0	4195078	0
25	88	778	250	0	0	8	0	779	255	97	0	0	780	0	98	0	1048576	1048576	10000000	0	0	6	0
26	89	784	1000	785	0	8	0	0	0	0	0	0	0	0	0	0	1310720	2097152	100	0	0	24	0
27	87	0	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	2097152	100	0	0	24	0
28	-1	787	1000	0	94	8	0	0	0	0	0	0	0	0	17	655360	393216	2097152	100	3	0	71184	0
29	-1	791	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
30	2035	806	20	0	0	8	0	0	0	0	0	0	808	0	82	0	655360	2752512	100	0	0	524294	0
31	-1	97	1000	0	16	8	0	0	0	0	0	0	99	0	17	655360	393216	524288	100	3	0	67088	0
32	-1	102	1000	0	16	8	0	0	0	0	0	0	104	0	17	655360	393216	524288	100	5	0	67088	0
33	-1	114	1000	0	14	8	0	0	0	0	0	0	127	0	82	1310720	720896	524288	100	20	0	67088	0
34	-1	107	1000	0	8	8	0	0	0	0	0	0	109	0	17	1638400	851968	524288	100	5	0	67088	0
35	-1	115	1000	0	0	8	0	0	0	0	0	0	117	0	15	1638400	851968	524288	100	100	0	67088	0
