id	name
0	TROO
1	SHTG
2	PUNG
3	PISG
4	PISF
5	SHTF
6	SHT2
7	CHGG
8	CHGF
9	MISG
10	MISF
11	SAWG
12	PLSG
13	PLSF
14	BFGG
15	BFGF
16	BLUD
17	PUFF
18	BAL1
19	BAL2
20	PLSS
21	PLSE
22	MISL
23	BFS1
24	BFE1
25	BFE2
26	TFOG
27	IFOG
28	PLAY
29	POSS
30	SPOS
31	VILE
32	FIRE
33	FATB
34	FBXP
35	SKEL
36	MANF
37	FATT
38	CPOS
39	SARG
40	HEAD
41	BAL7
42	BOSS
43	BOS2
44	SKUL
45	SPID
46	BSPI
47	APLS
48	APBX
49	CYBR
50	PAIN
51	SSWV
52	KEEN
53	BBRN
54	BOSF
55	ARM1
56	ARM2
57	BAR1
58	BEXP
59	FCAN
60	BON1
61	BON2
62	BKEY
63	RKEY
64	YKEY
65	BSKU
66	RSKU
67	YSKU
68	STIM
69	MEDI
70	SOUL
71	PINV
72	PSTR
73	PINS
74	MEGA
75	SUIT
76	PMAP
77	PVIS
78	CLIP
79	AMMO
80	ROCK
81	BROK
82	CELL
83	CELP
84	SHEL
85	SBOX
86	BPAK
87	BFUG
88	MGUN
89	CSAW
90	LAUN
91	PLAS
92	SHOT
93	SGN2
94	COLU
95	SMT2
96	GOR1
97	POL2
98	POL5
99	POL4
100	POL3
101	POL1
102	POL6
103	GOR2
104	GOR3
105	GOR4
106	GOR5
107	SMIT
108	COL1
109	COL2
110	COL3
111	COL4
112	CAND
113	CBRA
114	COL6
115	TRE1
116	TRE2
117	ELEC
118	CEYE
119	FSKU
120	COL5
121	TBLU
122	TGRN
123	TRED
124	SMBT
125	SMGT
126	SMRT
127	HDB1
128	HDB2
129	HDB3
130	HDB4
131	HDB5
132	HDB6
133	POB1
134	POB2
135	BRS1
136	TLMP
137	TLP2
