id	sprite	frame	tics	action	nextstate	misc1	misc2
0	0	0	-1	0	0	0	0
1	1	4	0	39	0	0	0
2	2	0	1	73	2	0	0
3	2	0	1	44	3	0	0
4	2	0	1	53	4	0	0
5	2	1	4	0	6	0	0
6	2	2	4	52	7	0	0
7	2	3	5	0	8	0	0
8	2	2	4	0	9	0	0
9	2	1	5	54	2	0	0
10	3	0	1	73	10	0	0
11	3	0	1	44	11	0	0
12	3	0	1	53	12	0	0
13	3	0	4	0	14	0	0
14	3	1	6	31	15	0	0
15	3	2	4	0	16	0	0
16	3	1	5	54	10	0	0
17	4	32768	7	40	1	0	0
18	1	0	1	73	18	0	0
19	1	0	1	44	19	0	0
20	1	0	1	53	20	0	0
21	1	0	3	0	22	0	0
22	1	0	7	33	23	0	0
23	1	1	5	0	24	0	0
24	1	2	5	0	25	0	0
25	1	3	4	0	26	0	0
26	1	2	5	0	27	0	0
27	1	1	5	0	28	0	0
28	1	0	3	0	29	0	0
29	1	0	7	54	18	0	0
30	5	32768	4	40	31	0	0
31	5	32769	3	41	1	0	0
32	6	0	1	73	32	0	0
33	6	0	1	44	33	0	0
34	6	0	1	53	34	0	0
35	6	0	3	0	36	0	0
36	6	0	7	34	37	0	0
37	6	1	7	0	38	0	0
38	6	2	7	16	39	0	0
39	6	3	7	46	40	0	0
40	6	4	7	0	41	0	0
41	6	5	7	42	42	0	0
42	6	6	6	0	43	0	0
43	6	7	6	17	44	0	0
44	6	0	5	54	32	0	0
45	6	1	7	0	46	0	0
46	6	0	3	0	33	0	0
47	6	32776	5	40	48	0	0
48	6	32777	4	41	1	0	0
49	7	0	1	73	49	0	0
50	7	0	1	44	50	0	0
51	7	0	1	53	51	0	0
52	7	0	4	28	53	0	0
53	7	1	4	28	54	0	0
54	7	1	0	54	49	0	0
55	8	32768	5	40	1	0	0
56	8	32769	5	41	1	0	0
57	9	0	1	73	57	0	0
58	9	0	1	44	58	0	0
59	9	0	1	53	59	0	0
60	9	1	8	35	61	0	0
61	9	1	12	30	62	0	0
62	9	1	0	54	57	0	0
63	10	32768	3	40	64	0	0
64	10	32769	4	0	65	0	0
65	10	32770	4	41	66	0	0
66	10	32771	4	41	1	0	0
67	11	2	4	73	68	0	0
68	11	3	4	73	67	0	0
69	11	2	1	44	69	0	0
70	11	2	1	53	70	0	0
71	11	0	4	57	72	0	0
72	11	1	4	57	73	0	0
73	11	1	0	54	67	0	0
74	12	0	1	73	74	0	0
75	12	0	1	44	75	0	0
76	12	0	1	53	76	0	0
77	12	0	3	32	78	0	0
78	12	1	20	54	74	0	0
79	13	32768	4	40	1	0	0
80	13	32769	4	40	1	0	0
81	14	0	1	73	81	0	0
82	14	0	1	44	82	0	0
83	14	0	1	53	83	0	0
84	14	0	20	2	85	0	0
85	14	1	10	35	86	0	0
86	14	1	10	27	87	0	0
87	14	1	20	54	81	0	0
88	15	32768	11	40	89	0	0
89	15	32769	6	41	1	0	0
90	16	2	8	0	91	0	0
91	16	1	8	0	92	0	0
92	16	0	8	0	0	0	0
93	17	32768	4	0	94	0	0
94	17	1	4	0	95	0	0
95	17	2	4	0	96	0	0
96	17	3	4	0	0	0	0
97	18	32768	4	0	98	0	0
98	18	32769	4	0	97	0	0
99	18	32770	6	0	100	0	0
100	18	32771	6	0	101	0	0
101	18	32772	6	0	0	0	0
102	19	32768	4	0	103	0	0
103	19	32769	4	0	102	0	0
104	19	32770	6	0	105	0	0
105	19	32771	6	0	106	0	0
106	19	32772	6	0	0	0	0
107	20	32768	6	0	108	0	0
108	20	32769	6	0	107	0	0
109	21	32768	4	0	110	0	0
110	21	32769	4	0	111	0	0
111	21	32770	4	0	112	0	0
112	21	32771	4	0	113	0	0
113	21	32772	4	0	0	0	0
114	22	32768	1	0	114	0	0
115	23	32768	4	0	116	0	0
116	23	32769	4	0	115	0	0
117	24	32768	8	0	118	0	0
118	24	32769	8	0	119	0	0
119	24	32770	8	1	120	0	0
120	24	32771	8	0	121	0	0
121	24	32772	8	0	122	0	0
122	24	32773	8	0	0	0	0
123	25	32768	8	0	124	0	0
124	25	32769	8	0	125	0	0
125	25	32770	8	0	126	0	0
126	25	32771	8	0	0	0	0
127	22	32769	8	19	128	0	0
128	22	32770	6	0	129	0	0
129	22	32771	4	0	0	0	0
130	26	32768	6	0	131	0	0
131	26	32769	6	0	132	0	0
132	26	32768	6	0	133	0	0
133	26	32769	6	0	134	0	0
134	26	32770	6	0	135	0	0
135	26	32771	6	0	136	0	0
136	26	32772	6	0	137	0	0
137	26	32773	6	0	138	0	0
138	26	32774	6	0	139	0	0
139	26	32775	6	0	140	0	0
140	26	32776	6	0	141	0	0
141	26	32777	6	0	0	0	0
142	27	32768	6	0	143	0	0
143	27	32769	6	0	144	0	0
144	27	32768	6	0	145	0	0
145	27	32769	6	0	146	0	0
146	27	32770	6	0	147	0	0
147	27	32771	6	0	148	0	0
148	27	32772	6	0	0	0	0
149	28	0	-1	0	0	0	0
150	28	0	4	0	151	0	0
151	28	1	4	0	152	0	0
152	28	2	4	0	153	0	0
153	28	3	4	0	150	0	0
154	28	4	12	0	149	0	0
155	28	32773	6	0	154	0	0
156	28	6	4	0	157	0	0
157	28	6	4	47	149	0	0
158	28	7	10	0	159	0	0
159	28	8	10	50	160	0	0
160	28	9	10	21	161	0	0
161	28	10	10	0	162	0	0
162	28	11	10	0	163	0	0
163	28	12	10	0	164	0	0
164	28	13	-1	0	0	0	0
165	28	14	5	0	166	0	0
166	28	15	5	74	167	0	0
167	28	16	5	21	168	0	0
168	28	17	5	0	169	0	0
169	28	18	5	0	170	0	0
170	28	19	5	0	171	0	0
171	28	20	5	0	172	0	0
172	28	21	5	0	173	0	0
173	28	22	-1	0	0	0	0
174	29	0	10	43	175	0	0
175	29	1	10	43	174	0	0
176	29	0	4	15	177	0	0
177	29	0	4	15	178	0	0
178	29	1	4	15	179	0	0
179	29	1	4	15	180	0	0
180	29	2	4	15	181	0	0
181	29	2	4	15	182	0	0
182	29	3	4	15	183	0	0
183	29	3	4	15	176	0	0
184	29	4	10	20	185	0	0
185	29	5	8	51	186	0	0
186	29	4	8	0	176	0	0
187	29	6	3	0	188	0	0
188	29	6	3	47	176	0	0
189	29	7	5	0	190	0	0
190	29	8	5	58	191	0	0
191	29	9	5	21	192	0	0
192	29	10	5	0	193	0	0
193	29	11	-1	0	0	0	0
194	29	12	5	0	195	0	0
195	29	13	5	74	196	0	0
196	29	14	5	21	197	0	0
197	29	15	5	0	198	0	0
198	29	16	5	0	199	0	0
199	29	17	5	0	200	0	0
200	29	18	5	0	201	0	0
201	29	19	5	0	202	0	0
202	29	20	-1	0	0	0	0
203	29	10	5	0	204	0	0
204	29	9	5	0	205	0	0
205	29	8	5	0	206	0	0
206	29	7	5	0	176	0	0
207	30	0	10	43	208	0	0
208	30	1	10	43	207	0	0
209	30	0	3	15	210	0	0
210	30	0	3	15	211	0	0
211	30	1	3	15	212	0	0
212	30	1	3	15	213	0	0
213	30	2	3	15	214	0	0
214	30	2	3	15	215	0	0
215	30	3	3	15	216	0	0
216	30	3	3	15	209	0	0
217	30	4	10	20	218	0	0
218	30	32773	10	55	219	0	0
219	30	4	10	0	209	0	0
220	30	6	3	0	221	0	0
221	30	6	3	47	209	0	0
222	30	7	5	0	223	0	0
223	30	8	5	58	224	0	0
224	30	9	5	21	225	0	0
225	30	10	5	0	226	0	0
226	30	11	-1	0	0	0	0
227	30	12	5	0	228	0	0
228	30	13	5	74	229	0	0
229	30	14	5	21	230	0	0
230	30	15	5	0	231	0	0
231	30	16	5	0	232	0	0
232	30	17	5	0	233	0	0
233	30	18	5	0	234	0	0
234	30	19	5	0	235	0	0
235	30	20	-1	0	0	0	0
236	30	11	5	0	237	0	0
237	30	10	5	0	238	0	0
238	30	9	5	0	239	0	0
