id	name1	name2	episode
0	SW1BRCOM	SW2BRCOM	1
1	SW1BRN1	SW2BRN1	1
2	SW1BRN2	SW2BRN2	1
3	SW1BRNGN	SW2BRNGN	1
4	SW1BROWN	SW2BROWN	1
5	SW1COMM	SW2COMM	1
6	SW1COMP	SW2COMP	1
7	SW1DIRT	SW2DIRT	1
8	SW1EXIT	SW2EXIT	1
9	SW1GRAY	SW2GRAY	1
10	SW1GRAY1	SW2GRAY1	1
11	SW1METAL	SW2METAL	1
12	SW1PIPE	SW2PIPE	1
13	SW1SLAD	SW2SLAD	1
14	SW1STARG	SW2STARG	1
15	SW1STON1	SW2STON1	1
16	SW1STON2	SW2STON2	1
17	SW1STONE	SW2STONE	1
18	SW1STRTN	SW2STRTN	1
19	SW1BLUE	SW2BLUE	2
20	SW1CMT	SW2CMT	2
21	SW1GARG	SW2GARG	2
22	SW1GSTON	SW2GSTON	2
23	SW1HOT	SW2HOT	2
24	SW1LION	SW2LION	2
25	SW1SATYR	SW2SATYR	2
26	SW1SKIN	SW2SKIN	2
27	SW1VINE	SW2VINE	2
28	SW1WOOD	SW2WOOD	2
29	SW1PANEL	SW2PANEL	3
30	SW1ROCK	SW2ROCK	3
31	SW1MET2	SW2MET2	3
32	SW1WDMET	SW2WDMET	3
33	SW1BRIK	SW2BRIK	3
34	SW1MOD1	SW2MOD1	3
35	SW1ZIM	SW2ZIM	3
36	SW1STON6	SW2STON6	3
37	SW1TEK	SW2TEK	3
38	SW1MARB	SW2MARB	3
39	SW1SKULL	SW2SKULL	3
40			0
